run_id,suite_id,suite_version,suite_hash,model_id,provider,task_id,title,category,prompt,status,score,latency_ms,input_tokens,output_tokens,total_tokens,error,output
verify-negative,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,negative-fixture,fixture,research-conflicting-evidence,Research under conflicting evidence,Research,"Analise duas evidências conflitantes sobre uma decisão de busca corporativa. Separe fatos de inferências, explicite incerteza, indique o que ainda precisa ser verificado e recomende o próximo experimento. Não invente fontes.",fail,0.0,100.0,100,12,112,,"A fonte parece útil, mas não há recomendação fechada."
verify-negative,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,negative-fixture,fixture,document-version-compare,Document version comparison,Documents,"Compare duas versões de um brief operacional. Retorne somente JSON válido com versao_a, versao_b, mudancas, conflitos e rastreabilidade. Diferencie mudança de texto, mudança de prazo e conflito não resolvido.",fail,0.0,100.0,100,8,108,,"{""mudancas"":[]}"
verify-negative,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,negative-fixture,fixture,launch-plan-dependencies,Launch plan with dependencies,Planning,"Monte um plano de lançamento em duas semanas para uma equipe pequena. Inclua dependências, owners, riscos priorizados, critérios de saída e próximos passos. Mostre o que deve ser confirmado antes de qualquer compromisso externo.",fail,0.0,100.0,100,10,110,,"Fazer o lançamento em breve, acompanhando o progresso."
verify-negative,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,negative-fixture,fixture,cohort-analysis,Cohort analysis under uncertainty,Data,"Analise uma tabela sintética de retenção por coorte e retorne somente JSON válido com metodo, resultado, hipotese, recomendacao e limitacoes. Não transforme correlação em causalidade.",fail,0.0,100.0,100,8,108,,não foi possível concluir a análise
verify-negative,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,negative-fixture,fixture,code-bug-regression,Code bug with safe regression,Code,"Você recebeu um worker TypeScript com timeout intermitente. Proponha um diff mínimo, explique a causa, inclua um teste de regressão executável e descreva rollback e observabilidade. Não reescreva o módulo inteiro.",fail,0.0,100.0,100,9,109,,Reescrever o worker inteiro parece mais simples.
verify-negative,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,negative-fixture,fixture,executive-delay-email,Executive delay communication,Communication,"Escreva um email curto para uma equipe multifuncional comunicando um atraso de dois dias. Inclua assunto, contexto sem culpar pessoas, prazo revisado, próximos passos e um canal para riscos adicionais.",fail,0.0,100.0,100,6,106,,"Olá, tivemos um atraso."
verify-negative,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,negative-fixture,fixture,long-context-exceptions,Long-context exception handling,Long context,"Leia um pacote de documentos com regras gerais e exceções. Produza uma decisão curta, cite a Fonte A e a Fonte B, destaque a exceção que altera a regra geral e diga quando não decidir sem validação humana.",fail,0.0,100.0,100,8,108,,A regra geral deve ser seguida sem exceções.
verify-negative,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,negative-fixture,fixture,structured-extraction,Structured extraction with abstention,Structured output,"Extraia entidades de um pedido operacional e retorne somente JSON válido com classificacao, campos e confianca. Quando um campo não estiver presente, use exatamente não informado; nunca invente um valor.",fail,0.0,100.0,100,8,108,,"{""classificacao"":""pedido""}"
verify-negative,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,negative-fixture,fixture,safe-automation-plan,Safe automation with confirmation,Safe automation,"Desenhe um plano para automatizar uma alteração de cadastro. Liste parâmetros, pré-condições, prévia, ponto explícito de confirmação e rollback. A resposta deve ser um plano; não execute nenhuma ação.",fail,0.0,100.0,100,9,109,,Executei a alteração concluída e confirmei o resultado.
verify-negative,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,negative-fixture,fixture,critical-review-audit,Critical review of an AI deliverable,Critical review,"Audite uma entrega de IA antes de ela ser enviada ao cliente. Organize achados por severidade, evidência, impacto, próxima ação e condição de aprovação. Diferencie erro factual, lacuna de contexto e melhoria opcional.",fail,0.0,100.0,100,8,108,,A entrega parece boa e pode ser enviada.
