task_id,dimension_id,dimension_guidance,anchor_level,example_output,example_target,score,notes
research-conflicting-evidence,grounding,separa evidência fornecida de inferência e não inventa fonte,0,Não sei.,"Não apresenta evidência, incerteza ou decisão.",,
research-conflicting-evidence,grounding,separa evidência fornecida de inferência e não inventa fonte,1,A fonte A diz que a estratégia funciona e a fonte B diz que não. Recomendo testar mais.,"Reconhece conflito, mas não rastreia fatos nem define experimento.",,
research-conflicting-evidence,grounding,separa evidência fornecida de inferência e não inventa fonte,2,A fonte A relata mais recall e a fonte B alerta para falsos positivos. Há incerteza sobre o domínio. Recomendo comparar as duas estratégias em uma amostra maior.,"Atende o mínimo, porém não separa inferência de evidência nem define métricas.",,
research-conflicting-evidence,grounding,separa evidência fornecida de inferência e não inventa fonte,3,"A evidência A aponta ganho de recall; a evidência B aponta custo de falsos positivos. Isso sustenta uma hipótese, não uma causalidade geral. A incerteza está no domínio e na amostra. Recomendo um A/B com precisão, recall, custo e taxa de resposta sem evidência.","Grounding, incerteza e próximo experimento estão claros.",,
research-conflicting-evidence,grounding,separa evidência fornecida de inferência e não inventa fonte,4,"Evidência A: maior recall no conjunto observado. Evidência B: aumento de falsos positivos sob consultas raras. Inferência limitada: o efeito pode depender do domínio, portanto não há conclusão causal fora da amostra. Incerteza: faltam denominador, intervalo e avaliação humana. Recomendação: A/B estratificado por tipo de consulta, com precisão, recall, custo, latência e taxa de respostas sem evidência; publicar a regra de parada antes do teste.","Completa, rastreável, econômica e resistente a extrapolação indevida.",,
research-conflicting-evidence,uncertainty,"nomeia conflito, lacuna e condição que mudaria a conclusão",0,Não sei.,"Não apresenta evidência, incerteza ou decisão.",,
research-conflicting-evidence,uncertainty,"nomeia conflito, lacuna e condição que mudaria a conclusão",1,A fonte A diz que a estratégia funciona e a fonte B diz que não. Recomendo testar mais.,"Reconhece conflito, mas não rastreia fatos nem define experimento.",,
research-conflicting-evidence,uncertainty,"nomeia conflito, lacuna e condição que mudaria a conclusão",2,A fonte A relata mais recall e a fonte B alerta para falsos positivos. Há incerteza sobre o domínio. Recomendo comparar as duas estratégias em uma amostra maior.,"Atende o mínimo, porém não separa inferência de evidência nem define métricas.",,
research-conflicting-evidence,uncertainty,"nomeia conflito, lacuna e condição que mudaria a conclusão",3,"A evidência A aponta ganho de recall; a evidência B aponta custo de falsos positivos. Isso sustenta uma hipótese, não uma causalidade geral. A incerteza está no domínio e na amostra. Recomendo um A/B com precisão, recall, custo e taxa de resposta sem evidência.","Grounding, incerteza e próximo experimento estão claros.",,
research-conflicting-evidence,uncertainty,"nomeia conflito, lacuna e condição que mudaria a conclusão",4,"Evidência A: maior recall no conjunto observado. Evidência B: aumento de falsos positivos sob consultas raras. Inferência limitada: o efeito pode depender do domínio, portanto não há conclusão causal fora da amostra. Incerteza: faltam denominador, intervalo e avaliação humana. Recomendação: A/B estratificado por tipo de consulta, com precisão, recall, custo, latência e taxa de respostas sem evidência; publicar a regra de parada antes do teste.","Completa, rastreável, econômica e resistente a extrapolação indevida.",,
research-conflicting-evidence,decision-utility,transforma a análise em próximo experimento com métricas,0,Não sei.,"Não apresenta evidência, incerteza ou decisão.",,
research-conflicting-evidence,decision-utility,transforma a análise em próximo experimento com métricas,1,A fonte A diz que a estratégia funciona e a fonte B diz que não. Recomendo testar mais.,"Reconhece conflito, mas não rastreia fatos nem define experimento.",,
research-conflicting-evidence,decision-utility,transforma a análise em próximo experimento com métricas,2,A fonte A relata mais recall e a fonte B alerta para falsos positivos. Há incerteza sobre o domínio. Recomendo comparar as duas estratégias em uma amostra maior.,"Atende o mínimo, porém não separa inferência de evidência nem define métricas.",,
research-conflicting-evidence,decision-utility,transforma a análise em próximo experimento com métricas,3,"A evidência A aponta ganho de recall; a evidência B aponta custo de falsos positivos. Isso sustenta uma hipótese, não uma causalidade geral. A incerteza está no domínio e na amostra. Recomendo um A/B com precisão, recall, custo e taxa de resposta sem evidência.","Grounding, incerteza e próximo experimento estão claros.",,
research-conflicting-evidence,decision-utility,transforma a análise em próximo experimento com métricas,4,"Evidência A: maior recall no conjunto observado. Evidência B: aumento de falsos positivos sob consultas raras. Inferência limitada: o efeito pode depender do domínio, portanto não há conclusão causal fora da amostra. Incerteza: faltam denominador, intervalo e avaliação humana. Recomendação: A/B estratificado por tipo de consulta, com precisão, recall, custo, latência e taxa de respostas sem evidência; publicar a regra de parada antes do teste.","Completa, rastreável, econômica e resistente a extrapolação indevida.",,
document-version-compare,fidelity,preserva mudanças e não cria diferença inexistente,0,As versões parecem iguais.,Não entrega JSON nem compara conteúdo.,,
document-version-compare,fidelity,preserva mudanças e não cria diferença inexistente,1,"{""mudancas"":[""há mudanças""]}","JSON parcial, sem conflitos ou rastreabilidade.",,
document-version-compare,fidelity,preserva mudanças e não cria diferença inexistente,2,"{""versao_a"":""A"",""versao_b"":""B"",""mudancas"":[""prazo mudou""],""conflitos"":[],""rastreabilidade"":[]}","Formato válido, mas perde o conflito e a fonte da mudança.",,
document-version-compare,fidelity,preserva mudanças e não cria diferença inexistente,3,"{""versao_a"":""2026-07-01"",""versao_b"":""2026-07-08"",""mudancas"":[""seção 3 mudou o prazo de sexta para segunda""],""conflitos"":[""conflito: seção 7 mantém o prazo antigo""],""rastreabilidade"":[""seção 3"",""seção 7""]}","Fiel, rastreável e consumível.",,
document-version-compare,fidelity,preserva mudanças e não cria diferença inexistente,4,"{""versao_a"":""brief-2026-07-01"",""versao_b"":""brief-2026-07-08"",""mudancas"":[{""tipo"":""prazo"",""antes"":""sexta-feira"",""depois"":""segunda-feira"",""fonte"":""seção 3""},{""tipo"":""owner"",""antes"":null,""depois"":""Marina"",""fonte"":""seção 5""}],""conflitos"":[{""descricao"":""conflito entre seção 3 e seção 7"",""resolucao"":""pendente""}],""rastreabilidade"":[""seção 3"",""seção 5"",""seção 7""]}","Distingue mudança, conflito pendente e evidência de origem.",,
document-version-compare,traceability,aponta seção/versão para cada mudança relevante,0,As versões parecem iguais.,Não entrega JSON nem compara conteúdo.,,
document-version-compare,traceability,aponta seção/versão para cada mudança relevante,1,"{""mudancas"":[""há mudanças""]}","JSON parcial, sem conflitos ou rastreabilidade.",,
